City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Bolshaya Glushitsa,RU,2020-07-09 16:15:58,50.24,43.59,78.01,61,71,10.0
70,Nabire,ID,2020-07-09 16:12:00,-3.37,135.48,76.42,86,19,3.29
71,Hilo,US,2020-07-09 16:15:59,19.73,-155.09,71.6,78,90,4.7
72,Mataura,NZ,2020-07-09 16:15:59,-46.19,168.86,42.87,92,94,5.61
73,Upernavik,GL,2020-07-09 16:15:59,72.79,-56.15,43.99,63,38,9.44
74,Maningrida,AU,2020-07-09 16:15:59,-12.07,134.27,70.11,89,19,10.02
75,Urumqi,CN,2020-07-09 16:16:00,43.8,87.6,80.6,36,98,4.47
76,Kodiak,US,2020-07-09 16:16:00,57.79,-152.41,57.2,67,90,10.29
77,Teya,RU,2020-07-09 16:16:00,60.38,92.63,49.68,86,48,4.41
78,East London,ZA,2020-07-09 16:16:01,-33.02,27.91,78.71,32,100,13.29
79,Roebourne,AU,2020-07-09 16:16:01,-20.78,117.13,68.38,26,0,7.87
80,Broken Hill,AU,2020-07-09 16:16:01,-31.95,141.43,50.0,61,40,9.17
81,Qaanaaq,GL,2020-07-09 16:16:01,77.48,-69.36,47.82,51,2,7.87
82,Lagoa,PT,2020-07-09 16:16:02,39.05,-27.98,68.7,73,23,3.94
83,Viedma,AR,2020-07-09 16:16:02,-40.81,-63.0,51.51,45,100,21.97
84,Huntington,US,2020-07-09 16:16:02,38.42,-82.45,93.99,66,1,1.5
85,Sinnamary,GF,2020-07-09 16:15:01,5.38,-52.95,82.26,78,48,3.91
86,The Valley,AI,2020-07-09 16:12:43,18.22,-63.06,89.6,62,20,17.22
87,Limbang,MY,2020-07-09 16:16:03,4.75,115.0,78.8,94,75,1.12
88,San Patricio,MX,2020-07-09 16:16:03,19.22,-104.7,87.8,74,40,11.41
89,Kenora,CA,2020-07-09 16:16:03,49.82,-94.43,75.0,64,75,13.87
90,Petropavlovsk-Kamchatskiy,RU,2020-07-09 16:16:03,53.05,158.65,55.4,100,90,0.74
91,Podgorenskiy,RU,2020-07-09 16:16:04,50.41,39.64,68.85,72,34,9.01
92,Dhidhdhoo,MV,2020-07-09 16:16:04,6.88,73.1,83.48,79,99,11.32
93,Rawson,AR,2020-07-09 16:15:43,-43.3,-65.1,46.85,66,100,29.75
