City_ID,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
298,Ternate,ID,overcast clouds,83.43,0.8,127.4,Grand Dafam Bela Ternate
303,Sompeta,IN,overcast clouds,83.84,18.93,84.6,V.B.R A/C Lodge And Function Hall
304,Bandarbeyla,SO,scattered clouds,79.39,9.49,50.81,REER XOOSHLE GROUP
305,Praya,CV,few clouds,78.8,14.92,-23.51,LT Aparthotel
309,Tual,ID,clear sky,79.72,-5.67,132.75,Grand Vilia Hotel
311,Makaha,US,overcast clouds,87.8,21.47,-158.22,Hawaiian Princess Resort
312,Thinadhoo,MV,overcast clouds,83.44,0.53,72.93,
316,Dingle,PH,overcast clouds,85.06,11.0,122.67,Camp Pasica
318,Tommot,RU,clear sky,83.98,58.96,126.29,Gostinitsa Tommot
323,Tyrma,RU,clear sky,80.47,50.08,132.17,
324,Denpasar,ID,scattered clouds,80.6,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
325,Qinhuangdao,CN,few clouds,79.32,39.93,119.59,Qinhuangdao Peninsula Seasons Hotel And Apartment
326,Little Rock,US,broken clouds,89.6,34.75,-92.29,DoubleTree by Hilton Hotel Little Rock
329,Carutapera,BR,overcast clouds,76.21,-1.2,-46.02,Lidera
330,Hurghada,EG,clear sky,86.0,27.26,33.81,Sea Star Beau Rivage Hotel
331,Hasaki,JP,broken clouds,84.2,35.73,140.83,Inubosaki Kanko Hotel
337,Nioro,GM,overcast clouds,79.99,13.35,-15.75,
346,Pathein,MM,overcast clouds,81.5,16.78,94.73,Pathein Hotel
355,Kupang,ID,few clouds,80.6,-10.17,123.58,Sylvia Hotel Premier Kupang
358,Olinda,BR,scattered clouds,77.0,-8.01,-34.86,Hotel 5 Sóis
359,Wanning,CN,overcast clouds,85.32,18.8,110.4,Paradise Hotel
363,Wajima,JP,broken clouds,77.0,37.4,136.9,Wajiima Onsen Yashio
374,Xinyu,CN,overcast clouds,83.12,27.8,114.93,Xinyu Beihu Hotel
384,Biltine,TD,overcast clouds,79.84,14.53,20.92,Hôtel Trois Étoiles de Biltine
389,Norsup,VU,broken clouds,82.4,-16.07,167.38,Nabelchel Bungalows
395,Sterling,US,scattered clouds,84.2,39.01,-77.43,Hampton Inn & Suites Washington-Dulles International Airport
397,Kedougou,SN,thunderstorm,80.6,12.56,-12.17,Relais de Kédougou
398,Half Moon Bay,US,clear sky,86.0,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
399,Lillooet,CA,clear sky,77.0,50.69,-121.94,Hotel Victoria
400,Garmsar,IR,clear sky,76.12,35.22,52.34,Peyvand Hotel
401,Kununurra,AU,overcast clouds,77.0,-15.77,128.73,Hotel Kununurra
404,Tahta,EG,clear sky,86.0,26.77,31.5,Møhãmęd Tãręk 🏠
419,Ipixuna,BR,overcast clouds,78.8,-1.76,-48.8,Casa da Oscarina
421,Atar,MR,clear sky,88.23,20.52,-13.05,Oumou Elghoura
423,Koulikoro,ML,scattered clouds,83.55,14.0,-7.75,
426,Tevaitoa,PF,clear sky,78.21,-16.78,-151.5,Hôtel Raiatea Lodge
430,Saint-Georges,GD,few clouds,82.4,12.06,-61.75,Radisson Grenada Beach Resort
435,San Juan Del Sur,NI,scattered clouds,82.4,11.25,-85.87,Nuestra Casa
440,Cape Canaveral,US,clear sky,82.4,28.41,-80.6,Residence Inn by Marriott Cape Canaveral Cocoa Beach
443,Fort-Shevchenko,KZ,broken clouds,81.77,44.51,50.26,Oasis hotel Bautino
447,Kampong Thum,KH,overcast clouds,80.44,12.71,104.89,Sambor Village Hotel
448,Betera,ES,few clouds,78.8,39.58,-0.45,Hotel Mas Camarena
449,Labuhan,ID,overcast clouds,78.28,-6.88,112.21,bador sepret
